Year,Month,Grid,TX90p,TX10p,TN90p,TN10p,DTR,TXx,TXn,TNn,TNx
1981,1,1,3.2258064516129,3.2258064516129,0,51.6129032258064,6.51838571156198,31.6289168950046,28.2941543150046,21.3783386753781,24.4423340353781
1981,2,1,10.7142857142857,0,0,25,6.4350712835641,31.9521550749726,29.1580419149726,22.2879790614085,25.1577147814085
1981,3,1,61.2903225806452,0,0,3.2258064516129,6.33482320731008,32.7136250640296,30.0217763140296,23.5726293354292,25.7198919154292
1981,4,1,30,0,30,0,5.13437117210417,31.886125503072,29.799211443072,25.2275035366345,27.0450236766345
1981,5,1,16.1290322580645,3.2258064516129,54.8387096774194,0,4.24966737689326,31.6532154396741,28.8163471496741,25.4096560018131,27.3029970718131
1981,6,1,0,10,10,0,3.7828011436563,30.243228311222,28.061404581222,25.1974327905657,26.6242516305657
1981,7,1,0,22.5806451612903,22.5806451612903,0,3.28463464881312,29.9290938505155,28.2047133605155,25.1417244329927,26.7584846829927
1981,8,1,0,41.9354838709677,3.2258064516129,0,3.46825824571164,29.895899293313,27.649820803313,24.8797663469562,26.2037104369562
1981,9,1,0,20,0,0,3.8178368853306,30.3488683224625,27.6229772124625,24.6327378771319,26.0395066771319
1981,10,1,0,16.1290322580645,0,0,4.60361393768145,31.1179603026364,27.6879981426364,24.6753945091485,26.0734810591485
1981,11,1,0,0,0,3.33333333333333,5.22025957069847,31.2974603542514,28.8730218842514,23.7382130572196,25.7925648572196
1981,12,1,0,3.2258064516129,0,38.7096774193548,6.21797570568449,31.0377282787071,28.4214105287071,22.6241786981839,24.7970912981839
1982,1,1,3.2258064516129,0,0,67.741935483871,6.83796086672327,32.3030501950046,28.8673507250046,22.1283234153781,24.7497986353781
1982,2,1,64.2857142857143,0,0,53.5714285714286,8.16574330177839,33.5083074149726,30.4421758249726,22.8418731114085,25.0324096114085
1982,3,1,12.9032258064516,0,0,0,5.91545950763266,33.1198292940296,29.9651814640296,24.1967138054292,25.8054326854292
1982,4,1,40,0,33.3333333333333,0,5.58292972377083,32.519777233072,30.544786393072,25.3868052966345,27.1123607166345
1982,5,1,6.45161290322581,0,54.8387096774194,0,4.40288235560294,31.8034382196741,29.0574512796741,25.6276888418131,27.0685915518131
1982,6,1,0,10,10,0,3.44701216298963,30.301135421222,28.644351361222,24.9761803405657,26.7009270505657
1982,7,1,0,41.9354838709677,0,0,3.50225254526474,29.6978774205155,27.8845381905155,24.5335396129927,26.0801399629927
1982,8,1,0,22.5806451612903,16.1290322580645,0,3.35872721313099,29.752314083313,27.913218023313,24.8813990369562,26.7447718469562
1982,9,1,0,3.33333333333333,6.66666666666667,0,3.88608690566393,30.2480840224625,28.4122685924625,24.7959916571319,26.9434678571319
1982,10,1,0,12.9032258064516,0,0,4.51062096961693,30.4621222826364,27.7978156426364,24.1229347991485,25.2822823291485
1982,11,1,0,13.3333333333333,0,0,4.84291175269847,31.3531244242514,27.4072015642514,24.6055073672196,25.4345631472196
1982,12,1,0,16.1290322580645,0,3.2258064516129,5.4030515289103,31.0653009087071,27.9780816687071,23.4287746481839,25.1650875181839
1983,1,1,0,3.2258064516129,0,45.1612903225806,6.62836712672327,32.0211440650046,28.6430770450046,21.5214203453781,25.3283814053781
1983,2,1,3.57142857142857,0,0,35.7142857142857,7.38920172570696,33.0831059949726,30.2747716449726,23.3592833914085,26.2322844814085
1983,3,1,61.2903225806452,0,6.45161290322581,0,7.17204244440685,34.5957509240296,30.9604970140296,25.0432561654292,26.8441289754292
1983,4,1,56.6666666666667,0,36.6666666666667,0,6.58558272077083,34.637651383072,30.563295303072,24.3513286066345,27.8200023166345
1983,5,1,0,0,41.9354838709677,0,4.48254258689326,32.0853901196741,29.6344013496741,25.8934359118131,27.6266359918131
1983,6,1,0,20,16.6666666666667,0,3.83840722332297,31.440768601222,28.396243451222,25.0610649905657,26.9602501705657
1983,7,1,0,12.9032258064516,12.9032258064516,0,3.56202516010344,30.5979628705155,28.7315383105155,25.5339973829927,27.1822060029927
1983,8,1,0,25.8064516129032,6.45161290322581,0,3.35993708667938,30.468302243313,28.315668583313,25.3465479669562,26.9086664969562
1983,9,1,0,30,0,0,3.80582516699727,30.0649785524625,28.3240880524625,24.9641282571319,26.5031449871319
1983,10,1,0,0,0,0,4.41898209768145,30.8835395226364,29.2294257526364,24.5610909191485,26.6947579191485
1983,11,1,0,13.3333333333333,0,13.3333333333333,4.95643205669847,30.8626153842514,27.3759820842514,22.9986958472196,25.8096699672196
1983,12,1,0,16.1290322580645,0,29.0322580645161,5.10852490600707,30.4086389187071,28.2848138487071,23.8409755781839,25.5665615181839
1984,1,1,0,6.45161290322581,0,51.6129032258064,5.50292265285231,30.6624709650046,26.7235976750046,23.0594910253781,24.8366669253781
1984,2,1,3.44827586206897,3.44827586206897,0,13.7931034482759,5.1284215073572,31.3198003349726,27.8870000449726,23.4102782614085,25.0369262114085
