Grid,lon,lat
1,80.4329405518,5.9829329803
2,80.6587869963,5.98302587753
3,80.2068630303,6.20883798164
4,80.4327986851,6.20903084202
5,80.6587397062,6.20912727594
6,80.884682516,6.20912727594
7,81.1106235371,6.20903084202
8,80.2066176548,6.43492685064
9,80.4326514522,6.4351267899
10,80.6586906273,6.43522676341
11,80.884731595,6.43522676341
12,81.1107707701,6.4351267899
13,81.3368045674,6.43492685064
14,81.5628294024,6.43462696111
15,79.9802367744,6.66070321512
16,80.2063633167,6.66101373128
17,80.4324988414,6.66122075544
18,80.6586397557,6.66132427153
19,80.8847824666,6.66132427153
20,81.1109233809,6.66122075544
21,81.3370589055,6.66101373128
22,81.5631854478,6.66070321512
23,79.9798681546,6.88677740284
24,80.2060999963,6.88709855497
25,80.4323408408,6.88731267024
26,80.6585870874,6.88741973202
27,80.8848351348,6.88741973202
28,81.1110813814,6.88731267024
29,81.337322226,6.88709855497
30,81.5635540677,6.88677740284
31,81.7897733063,6.88634923876
32,79.9794869316,7.11284945547
33,80.2058276728,7.11318125322
34,80.4321774382,7.11340246603
35,80.6585326185,7.11351307672
36,80.8848896037,7.11351307672
37,81.111244784,7.11340246603
38,81.3375945494,7.11318125322
39,81.5639352907,7.11284945547
40,81.790263399,7.11240709855
41,79.9790930755,7.33891930434
42,80.205546325,7.33926175768
43,80.4320086207,7.33949007468
44,80.6584763445,7.33960423762
45,80.8849458777,7.33960423762
46,81.1114136015,7.33949007468
47,81.3378758973,7.33926175768
48,81.5643291467,7.33891930434
49,81.7907697324,7.33846274126
50,79.9786865555,7.56498688089
51,80.2052559307,7.56534000013
52,80.431834375,7.56557542822
53,80.6584182611,7.56569314683
54,80.8850039611,7.56569314683
55,81.1115878472,7.56557542822
56,81.3381662915,7.56534000013
57,81.5647356667,7.56498688089
58,81.7912923463,7.56451609792
59,79.9782673397,7.79105211672
60,80.2049564673,7.79141591253
61,80.4316546876,7.79165845878
62,80.6583583637,7.79177973663
63,80.8850638585,7.79177973663
64,81.1117675346,7.79165845878
65,81.3384657549,7.79141591253
66,81.5651548826,7.79105211672
67,79.977835395,8.01711494359
68,80.2046479112,8.01748942693
69,80.4314695442,8.01773909868
70,80.6582966476,8.01786393941
71,80.8851255746,8.01786393941
72,81.1119526781,8.01773909868
73,81.3387743111,8.01748942693
74,79.7504639349,8.24266176379
75,79.9773906876,8.24317529338
76,80.204330238,8.24356047557
77,80.4312789302,8.24381728036
78,80.658233108,8.24394568776
79,80.8851891142,8.24394568776
80,81.112143292,8.24381728036
81,81.3390919843,8.24356047557
82,79.9769331824,8.46923309814
83,80.2040034227,8.46962899083
84,80.4310828308,8.46989293644
85,80.6581677398,8.47002491438
86,80.8852544825,8.47002491438
87,81.1123393915,8.46989293644
88,81.3394187995,8.46962899083
89,79.9764628432,8.69528829007
90,80.2036674396,8.69569490526
91,80.4308812303,8.69596599967
92,80.6581005378,8.69610155217
93,80.8853216844,8.69610155217
94,81.1125409919,8.69596599967
95,79.9759796329,8.92134080155
96,80.2033222621,8.92175815157
97,80.4306741128,8.92203640301
98,80.6580314969,8.92217553416
99,80.8853907254,8.92217553416
100,80.2029678628,9.14781866262
101,80.4304614621,9.14810407954
102,80.6579606114,9.14824679357
103,80.2026042138,9.37387637146
104,80.4302432611,9.37416896254
105,80.6578878758,9.3743152638
106,80.4300194926,9.60023098547
107,80.20184905,9.82598311558
